Locals,Area,Bath,Floor,Zone,Price
3,85,1,2,Acilia,205000
3,82,2,2,Anagnina,249000
5,130,2,R,Rinnovamento,399000
3,75,1,1,Torresina,249000
5,155,2,A,Porta Pia,755000
3,60,2,3,Campo de' Fiori,540000
2,68,1,1,Ponte Mammolo,133000
2,68,1,3,Villa Chigi,370000
2,45,1,2,Torre Spaccata,109000
4,150,2,A,Ostia Levante,470000
4,147,2,2,Vigna Stelluti,590000
3,80,1,6,Magliana,172000
4,150,1,1,Casal Bruciato,360000
3,110,2,1,Torre Spaccata,310000
2,60,1,2,Corcolle,89000
4,148,2,3,Villa Chigi,690000
3,80,1,2,Rocca Cencia,129000
4,95,1,2,Centocelle,190000
1,34,1,1,Malafede,100000
4,150,2,0,Fonte Meravigliosa,419000
3,109,1,3,Cinecittà,249000
4,128,2,1,Giuliano Dalmata,495000
3,110,2,1,Torre Spaccata,279000
3,87,2,1,Casal Palocco,250000
2,60,1,3,Spinaceto,185000
4,125,3,5,Trastevere,560000
4,90,1,7,Monti Tiburtini,279000
3,85,2,R,Tor Cervara,149000
3,105,garantito,A,Anagnina,220000
5+,161,2,1,Prati,900000
3,80,1,3,Ostia Ponente,169000
5,130,2,3,Fleming,449000
2,85,1,1,Cinecittà,239000
3,100,1,2,Ponte di Nona,89000
2,60,1,2,Infernetto,129000
1,25,1,3,Euclide,150000
1,48,1,R,Torrino,215000
5,160,2,3,Monti,700000
5+,100,2,1,Osteria Nuova,169000
5+,120,1,1,Morena,235000
3,70,1,4,Ostia Ponente,250000
3,75,1,3,Torpignattara,165000
4,110,2,5,Casale Nei,285000
2,60,1,2,Torrino,195000
4,120,2,2,Villa Chigi,460000
4,160,3,4,Monti Tiburtini,385000
3,89,2,2,Labaro,210000
5,130,1,5,Colli Albani,420000
5+,180,1,1,San Godenzo,440000
3,70,1,1,Casal Bruciato,215000
3,75,2,0,Portuense,255000
3,110,2,A,Castel di Leva,308000
4,130,2,3,Marconi,370000
3,96,1,8,Cinecittà,193000
2,60,1,1,Piccolomini,900
5,160,2,2,Vitinia,349000
4,107,2,2,Trastevere,385000
3,113,1,7,Tufello,315000
5+,251,3,3,Villa Ada,1500000
5+,140,2,4,Montagnola,430000
5,220,3,1,Coppedè,1250000
4,153,2,1,Farnesina,410000
3,100,1,0,Appio Latino,320000
1,37,1,5,Torre Maura,69000
5+,215,2,3,Cinecittà,849000
5+,445,3+,0,Pigneto,1300000
2,90,1,4,Tomba di Nerone,149000
3,110,2,5,Torrino,300000
4,131,1,0,San Paolo,550000
4,120,2,2,Castelverde,184000
3,100,1,1,La Storta,230000
4,140,1,1,Cinecittà,310000
5+,195,3,2,Tintoretto,790000
4,160,2,0,Portuense,399000
5,152,2,1,Valli,335025
3,75,2,6,Castel di Leva,255000
4,157,2,A,Villa Chigi,780000
3,85,1,0,Esquilino,340000
3,62,1,3,Acilia,179000
3,55,1,0,Monte Spaccato,95000
3,100,1,1,Acilia,239000
4,170,3,4,Villa Chigi,650000
2,75,1,2,Monteverde Nuovo,275000
3,110,2,3,Ostia Ponente,300000
4,100,2,2,Villa Chigi,540000
2,50,1,0,Ponte Galeria,135000
4,147,2,3,Labaro,389000
4,95,1,2,Centocelle,190000
3,110,2,5,Ostia Levante,320000
4,90,1,2,Centocelle,190000
2,70,1,1,Tomba di Nerone,215000
2,45,1,0,La Rustica,185000
3,85,1,6,Acilia,250000
2,31,1,0,Casaletto,169000
3,92,1,3,Magliana,235000
4,75,1,R,Monte Sacro,239000
5+,204,3,1,Vigna Stelluti,715000
3,76,1,2,Ostia Levante,239000
4,140,2,2,Fontana Candida,215000
2,80,1,3,Quadraro,249000
1,55,1,4,Monti,570000
5,110,1,7,Colli Aniene,350000
4,149,2,2,Balduina,494000
4,120,2,3,Settecamini,209000
2,53,1,2,Ostia Ponente,119000
4,105,2,2,Villa Chigi,630000
3,70,1,0,Castelverde,140000
3,75,2,0,Colli Albani,268000
5,197,3+,6,Tintoretto,1150000
2,40,1,0,Colli Albani,119000
4,130,2,4,Esquilino,670000
2,85,1,2,Casal Bruciato,245000
3,80,1,2,Pigneto,198000
2,52,1,A,Balduina,328000
3,80,1,1,Borghesiana,172000
3,100,2,1,Centocelle,255000
4,120,1,6,Garbatella,440000
4,125,1,3,Torrino,385000
2,55,1,S,Torpignattara,51686
5+,125,2,1,Villa Bonelli,380000
2,65,1,1,Porta di Roma,250000
2,60,1,1,Ostia Ponente,129000
3,95,1,0,Borghesiana,150000
5,115,2,2,Casaletto,470000
4,96,1,4,Monti,660000
4,95,2,2,Torre Angela,146000
4,160,2,1,Monti,1080000
3,45,1,0,Euclide,200000
2,68,2,1,Marconi,248000
1,31,1,4,Monti,330000
2,75,1,2,Centocelle,189000
3,60,1,5,Colle del Sole,143000
2,41,1,1,Torrevecchia,129000
3,110,2,4,Appio Latino,435000
4,112,2,0,Trigoria,235000
2,65,1,0,Vitinia,200000
3,75,1,2,San Paolo,185000
3,77,2,2,Torre Spaccata,230000
3,80,2,3,Labaro,230000
3,134,2,4,Trevi,763800
3,75,2,1,Monte Migliore,165000
3,90,1,1,Re di Roma,399000
5,130,1,1,Torre Spaccata,275000
2,63,1,1,Centocelle,199000
3,80,2,1,La Rustica,229000
3,82,1,2,San Giovanni,370000
3,107,1,6,Balduina,430000
5,130,2,4,Villa Bonelli,348000
3,90,1,7,Pigneto,229000
3,70,1,3,Borghesiana,149000
3,87,1,5,Bravetta,289000
3,60,1,7,Garbatella,390000
2,101,1,3,Cinecittà,210000
4,130,2,3,Ostia Ponente,295000
4,100,1,1,Tor Vergata,220000
4,110,1,2,Colle del Sole,230000
2,55,2,1,Casalotti,140000
4,101,1,R,Montagnola,295000
4,150,2,0,Piccolomini,699000
2,71,1,1,San Giovanni,259000
4,140,2,1,Cinecittà,515000
2,54,1,7,Cinecittà,209000
4,120,2,1,Vigna Stelluti,500000
3,65,1,R,Rocca Cencia,135000
3,90,1,7,Pigneto,229000
2,50,1,2,Torre Spaccata,125000
2,55,1,4,Balduina,275000
3,74,1,4,Cinecittà,250000
